Country,Market Name,Level,Parent Market,L1 Market,Count,Dummy,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Argentina,Milk,Level 3,Animal Produce,Agriculture,58,ArgentinaMilk,USD Billion,0.000895449,0.001238752,0.001589933,0.002113407,0.004545453,0.00672911,0.013290611,0.014811294,0.046035763,0.12009098,0.226697987,0.231743576,0.37141745,0.635314759,1.538584929,2.388753416,3.084936719,3.747041145,4.508314979,5.413826814,6.477476166,7.912728782,9.559532152,11.43330744,13.6120599,16.13553187
Australia,Milk,Level 3,Animal Produce,Agriculture,58,AustraliaMilk,USD Billion,7.188398032,6.272484808,6.325373329,6.598178884,6.887705277,7.158663765,6.573405437,6.497972316,7.175997662,6.946569757,7.255728348,5.520438912,6.067095189,6.637577853,7.144736432,7.616460319,8.150949716,8.661319978,9.204820522,9.78276563,10.40525022,11.05717072,11.7255181,12.40966437,13.10899565,13.82291671
Austria,Milk,Level 3,Animal Produce,Agriculture,58,AustriaMilk,USD Billion,1.184893569,1.272634935,1.253186901,1.446955643,1.565067288,1.41938024,1.408827127,1.630525226,1.678930323,1.734216661,1.856542392,1.979979572,2.556356741,2.719486666,2.803134418,2.915760913,3.02311305,3.152379492,3.284594431,3.415668926,3.541372711,3.68635743,3.831089244,3.975396213,4.119121063,4.262120985
Belgium,Milk,Level 3,Animal Produce,Agriculture,58,BelgiumMilk,USD Billion,1.414545323,1.323926378,1.916570115,1.872073323,2.019728825,2.229031516,2.033994338,2.106996688,1.917799964,2.16651188,2.111175068,2.322816154,2.623545713,2.819083645,2.950793327,3.090109886,3.216374483,3.349179561,3.504686022,3.665059171,3.84120667,4.027341846,4.216105168,4.407362834,4.600990691,4.796874437
Brazil,Milk,Level 3,Animal Produce,Agriculture,58,BrazilMilk,USD Billion,4.67390479,3.865857861,4.432136772,6.604597149,9.10073404,14.93025618,12.57561892,11.7842414,14.26231371,15.41874215,19.99779967,20.45577974,25.44851865,27.54231028,29.46531457,31.64272561,33.60762261,35.41701012,37.36586292,39.47063172,41.71675764,44.25758642,46.81084685,49.36840138,51.9224122,54.46539558
Canada,Milk,Level 3,Animal Produce,Agriculture,58,CanadaMilk,USD Billion,5.059441889,5.105604745,5.237832167,5.748784834,6.176413781,6.956532435,7.197694303,7.443463065,8.554392363,8.107173854,7.586455379,7.742179001,8.052145564,8.189116264,8.477073129,8.665384663,8.895829443,9.150172464,9.384840089,9.628683538,9.926981366,10.17631059,10.4129876,10.63678255,10.84754457,11.0451963
Chile,Milk,Level 3,Animal Produce,Agriculture,58,ChileMilk,USD Billion,1.261835004,1.284343337,1.30281284,1.470932117,1.719511573,1.782403703,1.548803625,1.50909336,0.85475923,1.115970929,1.122094762,1.149473912,1.227353589,1.381880238,1.603119573,1.80173227,2.009344281,2.22991059,2.465134069,2.724980177,3.009837475,3.357831654,3.735793727,4.145448378,4.588585186,5.067063156
China,Milk,Level 3,Animal Produce,Agriculture,58,ChinaMilk,USD Billion,26.17250905,29.2629722,32.00484064,30.65375791,34.26491632,33.74373099,33.60948537,36.47675995,37.23676391,40.68097558,42.43890899,45.43895994,46.16591329,47.09236242,47.71272377,47.95952515,48.69433878,49.94939398,51.4542604,52.87629848,54.17350448,55.17234117,56.05797559,56.83078159,57.49188499,58.04308817
Colombia,Milk,Level 3,Animal Produce,Agriculture,58,ColombiaMilk,USD Billion,1.586031922,1.424451889,1.345093018,1.322804592,1.657863633,3.30730193,3.26764462,3.889213131,3.538823096,3.361247189,3.899578778,4.843913083,7.240458801,7.642215966,8.06456623,8.487828572,8.796101847,9.087209797,9.415758856,9.771703812,10.13103974,10.53643025,10.92555347,11.2970432,11.64972642,11.98262173
Czech Republic,Milk,Level 3,Animal Produce,Agriculture,58,Czech RepublicMilk,USD Billion,0.755596888,0.889646943,0.831005946,0.935561977,0.950379677,1.076823801,1.027842688,0.91590713,0.91709574,0.929949919,0.914957899,1.015156431,1.427045944,1.609313591,1.640003305,1.755757385,1.870404544,1.971520822,2.079713837,2.189927571,2.306523689,2.444865453,2.58585503,2.729298701,2.875008076,3.022801184
Denmark,Milk,Level 3,Animal Produce,Agriculture,58,DenmarkMilk,USD Billion,1.949141814,2.29966565,2.593976822,2.878130731,2.683433064,2.973809565,3.271535379,3.11330994,2.540070494,2.628289833,2.562958435,2.738678789,3.788785135,3.812357737,4.077082746,4.300978932,4.605283989,4.897804218,5.204767451,5.521895781,5.858796715,6.182714716,6.513830829,6.851964417,7.196946615,7.548621257
Egypt,Milk,Level 3,Animal Produce,Agriculture,58,EgyptMilk,USD Billion,0.434752117,0.841624205,0.558799019,0.696160584,0.752450358,0.631771789,0.673971535,1.246176119,1.420586917,0.295221741,0.297686208,0.301043206,0.306641289,0.370355649,0.474729082,0.551055666,0.604186417,0.643404476,0.664147071,0.678620634,0.692909105,0.727130325,0.753113576,0.77077075,0.780317519,0.782215562
Finland,Milk,Level 3,Animal Produce,Agriculture,58,FinlandMilk,USD Billion,1.703550033,1.691697389,1.883696879,1.877159265,1.931231087,2.475103036,2.611275126,2.67331858,2.688331382,2.964445756,2.741195661,2.753461708,3.190524215,3.377718587,3.528613345,3.676854656,3.912755657,4.175470742,4.449182002,4.74975681,5.078364666,5.377177324,5.6866554,6.007002296,6.338434066,6.681180053
France,Milk,Level 3,Animal Produce,Agriculture,58,FranceMilk,USD Billion,10.42598253,11.35479231,12.12947298,13.61408716,14.06746851,12.20932632,12.09299873,13.87402154,12.53949138,13.47298128,13.37495426,14.37948885,17.68430291,19.18750496,20.16151713,20.88480506,21.75446882,22.81148495,23.97380276,25.18913698,26.45200769,27.78777153,29.146443,30.52718232,31.9292107,33.35181252
Germany,Milk,Level 3,Animal Produce,Agriculture,58,GermanyMilk,USD Billion,12.05154365,13.35039747,12.79225145,15.44478926,15.46360558,13.61567779,12.52724524,15.38110824,14.88553707,15.42408201,15.70214119,14.80321543,16.26577414,17.00657137,17.2429808,17.41934516,17.6537259,17.9993034,18.38975828,18.75009049,19.07054548,19.443187,19.79219054,20.11757397,20.41946439,20.69808741
